Id,WnvPresent
1,0.099344194
2,0.090086915
3,0.10465459
4,0.09623903
5,0.09623903
6,0.09623903
7,0.09623903
8,0.09623903
9,0.09063667
10,0.08211682
11,0.09747535
12,0.08777716
13,0.08777716
14,0.08777716
15,0.08777716
16,0.08777716
17,0.106065236
18,0.0962486
19,0.11169037
20,0.10277397
21,0.10277397
22,0.10277397
23,0.10277397
24,0.10277397
25,0.06583581
26,0.059494726
27,0.07465465
28,0.06370393
29,0.06370393
30,0.06370393
31,0.06370393
32,0.06370393
33,0.06583581
34,0.059494726
35,0.07465465
36,0.06370393
37,0.06370393
38,0.06370393
39,0.06370393
40,0.06370393
41,0.06583581
42,0.059494726
43,0.07465465
44,0.06370393
45,0.06370393
46,0.06370393
47,0.06370393
48,0.06370393
49,0.06583581
50,0.059494726
51,0.07465465
52,0.06370393
53,0.06370393
54,0.06370393
55,0.06370393
56,0.06370393
57,0.06583581
58,0.059494726
59,0.07465465
60,0.06370393
61,0.06370393
62,0.06370393
63,0.06370393
64,0.06370393
65,0.06583581
66,0.059494726
67,0.07465465
68,0.06370393
69,0.06370393
70,0.06370393
71,0.06370393
72,0.06370393
73,0.07699529
74,0.0696595
75,0.08584328
76,0.07453088
77,0.07453088
78,0.07453088
79,0.07453088
80,0.07453088
81,0.06583581
82,0.059494726
83,0.07465465
84,0.06370393
85,0.06370393
86,0.06370393
87,0.06370393
88,0.06370393
89,0.07581103
90,0.06857968
91,0.08584328
92,0.0733815
93,0.0733815
94,0.0733815
95,0.0733815
96,0.0733815
97,0.07581103
98,0.06857968
99,0.08584328
100,0.0733815
101,0.0733815
102,0.0733815
103,0.0733815
104,0.0733815
105,0.06583581
106,0.059494726
107,0.07465465
108,0.06370393
109,0.06370393
110,0.06370393
111,0.06370393
112,0.06370393
113,0.09987203
114,0.09057051
115,0.10553868
116,0.096752144
117,0.096752144
118,0.096752144
119,0.096752144
120,0.096752144
121,0.07753636
122,0.07015295
123,0.086378776
124,0.07505603
125,0.07505603
126,0.07505603
127,0.07505603
128,0.07505603
129,0.07952239
130,0.071964614
131,0.08698654
132,0.07698384
133,0.07698384
134,0.07698384
135,0.07698384
136,0.07698384
137,0.07581103
138,0.06857968
139,0.08584328
140,0.0733815
141,0.0733815
142,0.0733815
143,0.0733815
144,0.0733815
145,0.102730475
146,0.09319031
147,0.10853976
148,0.09953116
149,0.09953116
150,0.09953116
151,0.09953116
152,0.09953116
153,0.09883767
154,0.0896229
155,0.10610718
156,0.095746666
157,0.095746666
158,0.095746666
159,0.095746666
160,0.095746666
161,0.1124172
162,0.10207977
163,0.11870176
164,0.10895282
165,0.10895282
166,0.10895282
167,0.10895282
168,0.10895282
169,0.07049739
170,0.06373795
171,0.07714792
172,0.06822558
173,0.06822558
174,0.06822558
175,0.06822558
176,0.06822558
177,0.08247135
178,0.074656025
179,0.088754095
180,0.07984682
181,0.07984682
182,0.07984682
183,0.07984682
184,0.07984682
185,0.07360284
186,0.06656695
187,0.08203654
188,0.07123862
189,0.07123862
190,0.07123862
191,0.07123862
192,0.07123862
193,0.07517176
194,0.067996904
195,0.083539985
196,0.07276111
197,0.07276111
198,0.07276111
199,0.07276111
200,0.07276111
201,0.06583581
202,0.059494726
203,0.07465465
204,0.06370393
205,0.06370393
206,0.06370393
207,0.06370393
208,0.06370393
209,0.07581103
210,0.06857968
211,0.08584328
212,0.0733815
213,0.0733815
214,0.0733815
215,0.0733815
216,0.0733815
217,0.06583581
218,0.059494726
219,0.07465465
220,0.06370393
221,0.06370393
222,0.06370393
223,0.06370393
224,0.06370393
225,0.06583581
226,0.059494726
227,0.07465465
228,0.06370393
229,0.06370393
230,0.06370393
231,0.06370393
232,0.06370393
233,0.08834133
234,0.080018245
235,0.09835422
236,0.08554742
237,0.08554742
238,0.08554742
239,0.08554742
240,0.08554742
241,0.08783935
242,0.07955944
243,0.09418862
244,0.08505983
245,0.08505983
246,0.08505983
247,0.08505983
248,0.08505983
249,0.08783935
250,0.07955944
251,0.09418862
252,0.08505983
253,0.08505983
254,0.08505983
255,0.08505983
256,0.08505983
257,0.06583581
258,0.059494726
259,0.07465465
260,0.06370393
261,0.06370393
262,0.06370393
263,0.06370393
264,0.06370393
265,0.0730867
266,0.06609663
267,0.07996046
268,0.0707378
269,0.0707378
270,0.0707378
271,0.0707378
272,0.0707378
273,0.069128394
274,0.062491387
275,0.07714792
276,0.06689753
277,0.06689753
278,0.06689753
279,0.06689753
280,0.06689753
281,0.071215264
282,0.06439176
283,0.07939888
284,0.068922035
285,0.068922035
286,0.068922035
287,0.068922035
288,0.068922035
289,0.07312807
290,0.06613434
291,0.08151218
292,0.07077793
293,0.07077793
294,0.07077793
295,0.07077793
296,0.07077793
297,0.088024445
298,0.07972859
299,0.09620318
300,0.08523961
301,0.08523961
302,0.08523961
303,0.08523961
304,0.08523961
305,0.06712181
306,0.06066491
307,0.076098874
308,0.06495118
309,0.06495118
310,0.06495118
311,0.06495118
312,0.06495118
313,0.07952239
314,0.071964614
315,0.08698654
316,0.07698384
317,0.07698384
318,0.07698384
319,0.07698384
320,0.07698384
321,0.07848096
322,0.07101451
323,0.08748349
324,0.0759729
325,0.0759729
326,0.0759729
327,0.0759729
328,0.0759729
329,0.07789314
330,0.070478335
331,0.08817463
332,0.07540233
333,0.07540233
334,0.07540233
335,0.07540233
336,0.07540233
337,0.079490535
338,0.07193555
339,0.08691013
340,0.07695291
341,0.07695291
342,0.07695291
343,0.07695291
344,0.07695291
345,0.0730867
346,0.06609663
347,0.07996046
348,0.0707378
349,0.0707378
350,0.0707378
351,0.0707378
352,0.0707378
353,0.08100763
354,0.07331992
355,0.08691013
356,0.07842569
357,0.07842569
358,0.07842569
359,0.07842569
360,0.07842569
361,0.08884959
362,0.08048285
363,0.09526425
364,0.086041115
365,0.086041115
366,0.086041115
367,0.086041115
368,0.086041115
369,0.09854704
370,0.089356676
371,0.104147226
372,0.095464155
373,0.095464155
374,0.095464155
375,0.095464155
376,0.095464155
377,0.1050178
378,0.09528776
379,0.112807
380,0.101755336
381,0.101755336
382,0.101755336
383,0.101755336
384,0.101755336
385,0.08247135
386,0.074656025
387,0.088754095
388,0.07984682
389,0.07984682
390,0.07984682
391,0.07984682
392,0.07984682
393,0.06583581
394,0.059494726
395,0.07465465
396,0.06370393
397,0.06370393
398,0.06370393
399,0.06370393
400,0.06370393
401,0.09119431
402,0.08262681
403,0.09963542
404,0.08831891
405,0.08831891
406,0.08831891
407,0.08831891
408,0.08831891
409,0.068704545
410,0.062105525
411,0.07787562
412,0.06648637
413,0.06648637
414,0.06648637
415,0.06648637
416,0.06648637
417,0.06583581
418,0.059494726
419,0.07465465
420,0.06370393
421,0.06370393
422,0.06370393
423,0.06370393
424,0.06370393
425,0.06583581
426,0.059494726
427,0.07465465
428,0.06370393
429,0.06370393
430,0.06370393
431,0.06370393
432,0.06370393
433,0.06583581
434,0.059494726
435,0.07465465
436,0.06370393
437,0.06370393
438,0.06370393
