Id,WnvPresent
1,0.076873526
2,0.06675078
3,0.087136015
4,0.076873526
5,0.076873526
6,0.076873526
7,0.076873526
8,0.076873526
9,0.069015376
10,0.059860285
11,0.07695977
12,0.069015376
13,0.069015376
14,0.069015376
15,0.069015376
16,0.069015376
17,0.084798425
18,0.07371546
19,0.09226441
20,0.084798425
21,0.084798425
22,0.084798425
23,0.084798425
24,0.084798425
25,0.05346131
26,0.047765758
27,0.061918005
28,0.05346131
29,0.05346131
30,0.05346131
31,0.05346131
32,0.05346131
33,0.05262597
34,0.047014993
35,0.06095903
36,0.05262597
37,0.05262597
38,0.05262597
39,0.05262597
40,0.05262597
41,0.05262597
42,0.047014993
43,0.06095903
44,0.05262597
45,0.05262597
46,0.05262597
47,0.05262597
48,0.05262597
49,0.05346131
50,0.047765758
51,0.061918005
52,0.05346131
53,0.05346131
54,0.05346131
55,0.05346131
56,0.05346131
57,0.056583762
58,0.050573334
59,0.06550019
60,0.056583762
61,0.056583762
62,0.056583762
63,0.056583762
64,0.056583762
65,0.05346131
66,0.047765758
67,0.061918005
68,0.05346131
69,0.05346131
70,0.05346131
71,0.05346131
72,0.05346131
73,0.062406056
74,0.05407679
75,0.07216978
76,0.062406056
77,0.062406056
78,0.062406056
79,0.062406056
80,0.062406056
81,0.055179667
82,0.047765758
83,0.06388983
84,0.055179667
85,0.055179667
86,0.055179667
87,0.055179667
88,0.055179667
89,0.05763232
90,0.049906284
91,0.066702306
92,0.05763232
93,0.05763232
94,0.05763232
95,0.05763232
96,0.05763232
97,0.05763232
98,0.049906284
99,0.066702306
100,0.05763232
101,0.05763232
102,0.05763232
103,0.05763232
104,0.05763232
105,0.05262597
106,0.047014993
107,0.06095903
108,0.05262597
109,0.05262597
110,0.05262597
111,0.05262597
112,0.05262597
113,0.082528934
114,0.07171935
115,0.09187539
116,0.082528934
117,0.082528934
118,0.082528934
119,0.082528934
120,0.082528934
121,0.058254663
122,0.05331118
123,0.06623299
124,0.058254663
125,0.058254663
126,0.058254663
127,0.058254663
128,0.058254663
129,0.06625347
130,0.05744215
131,0.07521372
132,0.06625347
133,0.06625347
134,0.06625347
135,0.06625347
136,0.06625347
137,0.05763232
138,0.049906284
139,0.066702306
140,0.05763232
141,0.05763232
142,0.05763232
143,0.05763232
144,0.05763232
145,0.084798425
146,0.07371546
147,0.09226441
148,0.084798425
149,0.084798425
150,0.084798425
151,0.084798425
152,0.084798425
153,0.08333816
154,0.07243094
155,0.09226441
156,0.08333816
157,0.08333816
158,0.08333816
159,0.08333816
160,0.08333816
161,0.09120074
162,0.08117948
163,0.101420686
164,0.09120074
165,0.09120074
166,0.09120074
167,0.09120074
168,0.09120074
169,0.056583762
170,0.050573334
171,0.06550019
172,0.056583762
173,0.056583762
174,0.056583762
175,0.056583762
176,0.056583762
177,0.069015376
178,0.059860285
179,0.07695977
180,0.069015376
181,0.069015376
182,0.069015376
183,0.069015376
184,0.069015376
185,0.05805191
186,0.051894113
187,0.06600442
188,0.05805191
189,0.05805191
190,0.05805191
191,0.05805191
192,0.05805191
193,0.061717477
194,0.054939274
195,0.070110336
196,0.061717477
197,0.061717477
198,0.061717477
199,0.061717477
200,0.061717477
201,0.056583762
202,0.050573334
203,0.06550019
204,0.056583762
